PersonID,FamilyID,ProposedFirstName,ProposedLastName,ProposedDisplayName
79,81,Gertrude,Wyneken,Gertrude Wyneken
80,82,Christopher,Krauth,Christopher Krauth
81,82,Salome,Krauth,Salome Krauth
82,83,Valentin,Pieper,Valentin Pieper
83,83,Sibylle,Pieper,Sibylle Pieper
84,84,Joachim,Sasse,Joachim Sasse
85,84,Apollonia,Sasse,Apollonia Sasse
86,85,Rebecca,Hoenecke,Rebecca Hoenecke
107,86,Urban,Marquart,Urban Marquart
108,86,Rachel,Marquart,Rachel Marquart
109,87,Ambrosius,Nagel,Ambrosius Nagel
138,87,Judith,Nagel,Judith Nagel
111,88,Esther,Korby,Esther Korby
112,89,Bartholomaeus,Klug,Bartholomaeus Klug
113,89,Katharina,Klug,Katharina Klug
114,89,Wolfgang,Klug,Wolfgang Klug
115,89,Wenceslaus,Klug,Wenceslaus Klug
116,90,Magdalena,Veith,Magdalena Veith
142,91,Hans,Mentzer,Hans Mentzer
187,91,Elisabeth,Mentzer,Elisabeth Mentzer
188,91,Ulrich,Mentzer,Ulrich Mentzer
189,91,Anna,Mentzer,Anna Mentzer
121,92,Martin,Nicolai,Martin Nicolai
122,93,Philipp,Heermann,Philipp Heermann
123,93,Margarethe,Heermann,Margarethe Heermann
124,93,Johannes,Heermann,Johannes Heermann
125,93,Nikolaus,Heermann,Nikolaus Heermann
126,94,Georg,Eber,Georg Eber
127,94,Justus,Eber,Justus Eber
128,94,Lucas,Eber,Lucas Eber
183,94,Andreas,Eber,Andreas Eber
129,95,Matthias,Cruciger,Matthias Cruciger
130,95,Maria,Cruciger,Maria Cruciger
184,95,Barbara,Cruciger,Barbara Cruciger
190,95,Johann,Cruciger,Johann Cruciger
131,96,Caspar,Myconius,Caspar Myconius
132,97,David,Rhegius,David Rhegius
133,97,Ursula,Rhegius,Ursula Rhegius
135,98,Dorothea,Bucer,Dorothea Bucer
136,98,Paul,Bucer,Paul Bucer
139,100,Sophia,Tyndale,Sophia Tyndale
140,101,Clara,Hus,Clara Hus
141,101,Friedrich,Hus,Friedrich Hus
143,104,Heinrich,Wycliffe,Heinrich Wycliffe
145,105,Wilhelm,Arndt,Wilhelm Arndt
146,107,August,Francke,August Francke
147,108,Carl,Spener,Carl Spener
148,109,Samuel,Scriver,Samuel Scriver
149,110,Christine,Dannhauer,Christine Dannhauer
150,111,Theodor,Olearius,Theodor Olearius
151,111,Helena,Olearius,Helena Olearius
152,111,Ludwig,Olearius,Ludwig Olearius
153,113,Agnes,Kretzmann,Agnes Kretzmann
154,114,Conrad,Dau,Conrad Dau
155,114,Eva,Dau,Eva Dau
156,114,Susanna,Dau,Susanna Dau
157,114,Otto,Dau,Otto Dau
158,114,Martha,Dau,Martha Dau
162,116,Ernst,Engelder,Ernst Engelder
164,118,Johanna,Lenski,Johanna Lenski
165,118,Hermann,Lenski,Hermann Lenski
166,119,Rosina,Schaller,Rosina Schaller
167,119,Franz,Schaller,Franz Schaller
168,120,Elias,vonBora,Elias vonBora
169,120,Amalia,vonBora,Amalia vonBora
17,121,Louise,Schutz,Louise Schutz
171,122,Jakob,Praetorius,Jakob Praetorius
172,123,Michael,Hassler,Michael Hassler
173,124,Zacharias,Neander,Zacharias Neander
174,124,Caroline,Neander,Caroline Neander
175,125,Tobias,Stahl,Tobias Stahl
176,125,Emilie,Stahl,Emilie Stahl
177,126,Christopher,Steinhofer,Christopher Steinhofer
178,126,Charlotte,Steinhofer,Charlotte Steinhofer
179,127,Valentin,Rambach,Valentin Rambach
180,127,Gertrude,Rambach,Gertrude Rambach
181,127,Joachim,Rambach,Joachim Rambach
182,127,Salome,Rambach,Salome Rambach
194,128,Urban,Rothe,Urban Rothe
195,128,Sibylle,Rothe,Sibylle Rothe
191,131,Ambrosius,Brunn,Ambrosius Brunn
192,131,Apollonia,Brunn,Apollonia Brunn
193,131,Rebecca,Brunn,Rebecca Brunn
